SRC TRG WINS TOTAL CLUSTER_START CLUSTER_END END_OF_CLUSTER SYSTEM
de en 9 10 1 1 True Lan-Bridge.1
de en 4 10 2 10 False Online-W.2
de en 4 10 2 10 False JDExploreAcademy.6
de en 3 10 2 10 False Online-G.7
de en 1 10 2 10 False Online-A.8
de en 2 10 2 10 False HUMAN-B
de en 0 10 2 10 False Online-Y.3
de en 1 10 2 10 False Online-B.0
de en 0 10 2 10 False LT22.4
de en 0 10 2 10 True PROMT.5
ru en 7 10 1 9 False JDExploreAcademy.6
ru en 7 10 1 9 False HuaweiTSC.3
ru en 2 10 1 9 False Online-G.7
ru en 2 10 1 9 False Lan-Bridge.0
ru en 1 10 1 9 False Online-Y.4
ru en 1 10 1 9 False SRPOL.8
ru en 1 10 1 9 False Online-B.5
ru en 1 10 1 9 False Online-A.9
ru en 1 10 1 9 True Online-W.1
ru en 0 10 10 10 True ALMAnaCH-Inria.2
uk en 7 9 1 2 False Lan-Bridge.0
uk en 7 9 1 2 True Online-B.4
uk en 3 9 3 6 False HuaweiTSC.2
uk en 3 9 3 6 False Online-A.6
uk en 3 9 3 6 False PROMT.5
uk en 3 9 3 6 True Online-G.7
uk en 1 9 7 8 False Online-Y.3
uk en 1 9 7 8 True ARC-NKUA.8
uk en 0 9 9 9 True ALMAnaCH-Inria.1
lv en 3 5 1 4 False TartuNLP.1
lv en 1 5 1 4 False TAL-SJTU.3
lv en 1 5 1 4 False HuaweiTSC.0
lv en 1 5 1 4 True Liv4ever.4
lv en 0 5 5 5 True NiuTrans.2
cs en 11 12 1 1 True Online-W.2
cs en 8 12 2 9 False CUNI-DocTransformer.6
cs en 5 12 2 9 False Lan-Bridge.1
cs en 4 12 2 9 False Online-B.0
cs en 4 12 2 9 False JDExploreAcademy.8
cs en 3 12 2 9 False Online-A.10
cs en 4 12 2 9 False CUNI-Transformer.7
cs en 3 12 2 9 False Online-G.9
cs en 3 12 2 9 True SHOPLINE-PL.5
cs en 2 12 10 10 True Online-Y.4
cs en 0 12 11 12 False HUMAN-C
cs en 0 12 11 12 True ALMAnaCH-Inria.3
zh en 12 13 1 1 True HUMAN-B.12
zh en 7 13 2 13 False JDExploreAcademy.6
zh en 6 13 2 13 False HuaweiTSC.2
zh en 4 13 2 13 False AISP-SJTU.0
zh en 4 13 2 13 False LanguageX.10
zh en 4 13 2 13 False Online-A.11
zh en 2 13 2 13 False DLUT.4
zh en 4 13 2 13 False Online-B.5
zh en 2 13 2 13 False Online-G.8
zh en 1 13 2 13 False Online-W.1
zh en 1 13 2 13 False Lan-Bridge.7
zh en 0 13 2 13 False Online-Y.3
zh en 0 13 2 13 True NiuTrans.9
ja en 8 14 1 13 False DLUT.6
ja en 8 14 1 13 False NT5.4
ja en 5 14 1 13 False JDExploreAcademy.8
ja en 5 14 1 13 False LanguageX.12
ja en 7 14 1 13 False Online-B.7
ja en 5 14 1 13 False Online-W.1
ja en 2 14 1 13 False Lan-Bridge.9
ja en 2 14 1 13 False Online-G.10
ja en 2 14 1 13 False Online-A.13
ja en 1 14 1 13 False AISP-SJTU.0
ja en 2 14 1 13 False NAIST-NICT-TIT.5
ja en 1 14 1 13 False Online-Y.3
ja en 1 14 1 13 True KYB.2
ja en 0 14 14 14 True AIST.11
